filename,label
images\img_2024-12-03_08.47.57_11150774_cam_H2674069.png,0
images\img_2024-12-03_08.52.37_11150840_cam_H2674069.png,0
images\img_2024-12-03_08.53.23_11150848_cam_H2674069.png,0
images\img_2024-12-03_08.54.09_11150856_cam_H2674069.png,0
images\img_2024-12-03_09.01.08_11150963_cam_H2674069.png,0
images\img_2024-12-03_09.01.54_11150971_cam_H2674069.png,0
images\img_2024-12-03_09.05.00_11151015_cam_H2674069.png,0
images\img_2024-12-03_09.09.40_11151056_cam_H2674069.png,0
images\img_2024-12-03_09.10.26_11151063_cam_H2674069.png,0
images\img_2024-12-03_09.16.09_11151128_cam_H2674069.png,0
images\img_2024-12-03_09.16.55_11151135_cam_H2674069.png,0
images\img_2024-12-03_09.20.48_11151208_cam_H2674069.png,0
images\img_2024-12-03_09.21.34_11151217_cam_H2674069.png,0
images\img_2024-12-03_09.34.04_11151258_cam_H2674069.png,0
images\img_2024-12-03_09.40.23_11151401_cam_H2674069.png,0
images\img_2024-12-03_09.50.14_11151591_cam_H2674069.png,0
images\img_2024-12-03_09.55.40_11151639_cam_H2674069.png,0
images\img_2024-12-03_09.56.27_11151648_cam_H2674069.png,0
images\img_2024-12-03_09.57.14_11151657_cam_H2674069.png,0
images\img_2024-12-03_09.58.47_11151676_cam_H2674069.png,0
images\img_2024-12-03_10.01.53_11151729_cam_H2674069.png,0
images\img_2024-12-03_10.05.46_11151803_cam_H2674069.png,0
images\img_2024-12-03_10.06.33_11151812_cam_H2674069.png,0
images\img_2024-12-03_10.07.20_11151821_cam_H2674069.png,0
images\img_2024-12-03_10.13.03_11151880_cam_H2674069.png,0
images\img_2024-12-03_10.14.36_11151901_cam_H2674069.png,0
images\img_2024-12-03_10.20.03_11152000_cam_H2674069.png,0
images\img_2024-12-03_10.40.38_11152182_cam_H2674069.png,0
images\img_2024-12-03_11.04.35_11152516_cam_H2674069.png,0
images\img_2024-12-03_11.07.42_11152592_cam_H2674069.png,0
images\img_2024-12-03_11.13.08_11152672_cam_H2674069.png,0
images\img_2024-12-03_11.13.55_11152678_cam_H2674069.png,0
images\img_2024-12-03_11.15.29_11152694_cam_H2674069.png,0
images\img_2024-12-03_11.25.05_11152824_cam_H2674069.png,0
images\img_2024-12-03_11.25.51_11152832_cam_H2674069.png,0
images\img_2024-12-03_11.28.58_11152864_cam_H2674069.png,0
images\img_2024-12-03_11.36.45_11152974_cam_H2674069.png,0
images\img_2024-12-03_11.38.35_11152990_cam_H2674069.png,0
images\img_2024-12-03_11.40.55_11153032_cam_H2674069.png,0
images\img_2024-12-03_11.46.22_11153104_cam_H2674069.png,0
images\img_2024-12-03_11.50.15_11153161_cam_H2674069.png,0
images\img_2024-12-03_12.04.23_11153324_cam_H2674069.png,0
images\img_2024-12-03_12.05.09_11153331_cam_H2674069.png,0
images\img_2024-12-03_12.15.45_11153465_cam_H2674069.png,0
images\img_2024-12-03_12.21.11_11153517_cam_H2674069.png,0
images\img_2024-12-03_12.24.52_11153539_cam_H2674069.png,0
images\img_2024-12-03_12.31.06_11153643_cam_H2674069.png,0
images\img_2024-12-03_12.31.53_11153650_cam_H2674069.png,0
images\img_2024-12-03_12.34.13_11153669_cam_H2674069.png,0
images\img_2024-12-03_12.35.00_11153675_cam_H2674069.png,0
images\img_2024-12-03_12.38.06_11153717_cam_H2674069.png,0
images\img_2024-12-03_12.40.25_11153733_cam_H2674069.png,0
images\img_2024-12-03_12.42.14_11153746_cam_H2674069.png,0
images\img_2024-12-03_12.45.20_11153795_cam_H2674069.png,0
images\img_2024-12-03_12.49.13_11153833_cam_H2674069.png,0
images\img_2024-12-03_12.53.05_11153907_cam_H2674069.png,0
images\img_2024-12-03_12.56.11_11153943_cam_H2674069.png,0
images\img_2024-12-03_13.07.20_11154058_cam_H2674069.png,0
images\img_2024-12-03_13.09.40_11154074_cam_H2674069.png,0
images\img_2024-12-03_13.12.00_11154111_cam_H2674069.png,0
images\img_2024-12-03_13.15.06_11154137_cam_H2674069.png,0
images\img_2024-12-03_13.16.39_11154185_cam_H2674069.png,0
images\img_2024-12-03_13.22.18_11154225_cam_H2674069.png,0
images\img_2024-12-03_13.27.44_11154283_cam_H2674069.png,0
images\img_2024-12-03_13.30.03_11154301_cam_H2674069.png,0
images\img_2024-12-03_13.31.36_11154331_cam_H2674069.png,0
images\img_2024-12-03_13.39.28_11154398_cam_H2674069.png,0
images\img_2024-12-03_13.41.48_11154418_cam_H2674069.png,0
images\img_2024-12-03_13.44.48_11154438_cam_H2674069.png,0
images\img_2024-12-03_13.46.21_11154471_cam_H2674069.png,0
images\img_2024-12-03_13.48.41_11154493_cam_H2674069.png,0
images\img_2024-12-03_13.56.41_11154565_cam_H2674069.png,0
images\img_2024-12-03_13.58.14_11154569_cam_H2674069.png,0
images\img_2025-01-23_11.44.39_11637738_cam_H2674069.png,0
images\img_2025-01-23_11.48.31_11637801_cam_H2674069.png,0
images\img_2025-01-31_09.37.54_11785980_cam_H2674069.png,0
images\img_2025-01-31_09.40.52_11785996_cam_H2674069.png,0
images\img_2025-01-31_09.41.39_11786004_cam_H2674069.png,0
images\img_2025-01-31_09.42.26_11786024_cam_H2674069.png,0
images\img_2025-01-31_09.43.12_11786086_cam_H2674069.png,0
images\img_2025-01-31_09.44.45_11786102_cam_H2674069.png,0
images\img_2025-01-31_09.46.18_11786118_cam_H2674069.png,0
images\img_2025-01-31_09.47.05_11786124_cam_H2674069.png,0
images\img_2025-01-31_09.50.11_11786153_cam_H2674069.png,0
images\img_2025-01-31_09.52.30_11786171_cam_H2674069.png,0
images\img_2025-01-31_09.55.56_11786186_cam_H2674069.png,0
images\img_2025-01-31_09.56.42_11786194_cam_H2674069.png,0
images\img_2025-01-31_10.04.58_11786316_cam_H2674069.png,0
images\img_2025-01-31_10.06.31_11786331_cam_H2674069.png,0
images\img_2025-01-31_10.11.56_11786383_cam_H2674069.png,0
images\img_2025-01-31_10.17.38_11786457_cam_H2674069.png,0
images\img_2025-01-31_10.18.24_11786501_cam_H2674069.png,0
images\img_2025-01-31_10.19.58_11786515_cam_H2674069.png,0
images\img_2025-01-31_10.21.30_11786531_cam_H2674069.png,0
images\img_2025-01-31_10.22.17_11786539_cam_H2674069.png,0
images\img_2025-01-31_10.23.03_11786546_cam_H2674069.png,0
images\img_2025-01-31_10.26.56_11786583_cam_H2674069.png,0
images\img_2025-01-31_10.27.42_11786591_cam_H2674069.png,0
images\img_2025-01-31_10.32.21_11786639_cam_H2674069.png,0
images\img_2025-01-31_10.33.23_11786681_cam_H2674069.png,0
images\img_2025-01-31_10.34.09_11786689_cam_H2674069.png,0
images\img_2025-01-31_10.38.02_11786737_cam_H2674069.png,0
images\img_2025-01-31_10.40.22_11786769_cam_H2674069.png,0
images\img_2025-01-31_10.44.28_11786781_cam_H2674069.png,0
images\img_2025-01-31_10.46.01_11786813_cam_H2674069.png,0
images\img_2025-01-31_10.51.50_11786891_cam_H2674069.png,0
images\img_2025-01-31_10.53.23_11786903_cam_H2674069.png,0
images\img_2025-01-31_10.54.56_11786915_cam_H2674069.png,0
images\img_2025-01-31_10.58.48_11786968_cam_H2674069.png,0
